ID,category_big,category_medium,area,1 tsagiin tsalin 10'000 aas deesh,huwtsaslalt chuluutei,lucn baigaa,tsalin daily/weekly,suragch ajillaj bolno,bogino hugatsaagaar ajillaj bolno,7 honogt 3aas deesh ajilna,honogt 4uus deesh tsag ajilna,office iin ajil,daatgal tuldug,fashion,health/beauty,education,food,marketing/customer service,event,IT/creative,barilga,jolooch/hurgelt,ugaalga/tsewerlegee
11184,飲食・フード,ファストフード・デリ,Oosaka,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11185,飲食・フード,ファストフード・デリ,Aichi,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11189,飲食・フード,ファストフード・デリ,Oosaka,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11190,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11191,飲食・フード,ファストフード・デリ,Saitama,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11193,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11194,飲食・フード,ファストフード・デリ,Aichi,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11195,飲食・フード,ファストフード・デリ,Chiba,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11196,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11199,飲食・フード,ファストフード・デリ,Chiba,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11200,飲食・フード,ファストフード・デリ,Aichi,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11202,飲食・フード,ファストフード・デリ,Oosaka,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11204,飲食・フード,ファストフード・デリ,Tokyo,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11206,飲食・フード,ファストフード・デリ,Tokyo,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11209,飲食・フード,ファストフード・デリ,Oosaka,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11212,飲食・フード,ファストフード・デリ,Chiba,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11220,飲食・フード,ファストフード・デリ,Tokyo,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11223,飲食・フード,ファストフード・デリ,Tokyo,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11224,飲食・フード,ファストフード・デリ,Tokyo,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11229,飲食・フード,ファストフード・デリ,Chiba,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11231,飲食・フード,ファストフード・デリ,Oosaka,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11237,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11238,飲食・フード,ファストフード・デリ,Aichi,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11239,飲食・フード,ファストフード・デリ,Aichi,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11242,飲食・フード,ファストフード・デリ,Saitama,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11244,飲食・フード,ファストフード・デリ,Aichi,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11246,飲食・フード,ファストフード・デリ,Saitama,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11247,飲食・フード,ファストフード・デリ,Oosaka,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11248,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11249,飲食・フード,ファストフード・デリ,Kanagawa,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11250,飲食・フード,ファストフード・デリ,Tokyo,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11256,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11260,飲食・フード,ファストフード・デリ,Aichi,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11261,飲食・フード,ファストフード・デリ,Kanagawa,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11266,飲食・フード,ファストフード・デリ,Chiba,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11272,飲食・フード,ファストフード・デリ,Aichi,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11279,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11281,飲食・フード,ファストフード・デリ,Aichi,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11283,飲食・フード,ファストフード・デリ,Tokyo,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11286,飲食・フード,ファストフード・デリ,Tokyo,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
